id,start_time,end_time,title,tags,people,venues,description
11727,"Thu, 17 Apr 2014 21:00:00 -0400","Thu, 17 Apr 2014 22:30:00 -0400",Art Show Set-Up,"",Sorsha Roberts,Champagne Foyer,
11728,"Sun, 20 Apr 2014 22:30:00 -0400","Sun, 20 Apr 2014 23:30:00 -0400",Keeping it Fresh: New Ideas For Old Series,"Books, Craft of Writing, Fantasy","Anne Bishop, Jim Butcher, Isobelle Carmody, Anthony Panegyres",Champagne B (G),"With long running series or multiple series set in the same world, there's a constant tension between keeping each book fresh, whilst giving people the world they're comfortable with. How do different authors or series handle balancing this tension."
11729,"Sat, 19 Apr 2014 05:30:00 -0400","Sat, 19 Apr 2014 06:30:00 -0400","No pain, no gain","","Anne Bishop, Jim Butcher, Isobelle Carmody",Champagne A (G),"Characters develop through experience, sometimes positive, but often not. Some of our favourite characters have been beaten and worse, only to come out stranger. How do authors torture their characters without falling to simple stereotypes?"
11730,"Fri, 18 Apr 2014 20:00:00 -0400","Fri, 18 Apr 2014 22:00:00 -0400",Market Day Setup,"","",Bordeaux North (L1),
11731,"Sat, 19 Apr 2014 22:30:00 -0400","Sun, 20 Apr 2014 00:30:00 -0400",Open Tabletop Gaming (Inc Indi Gaming Berry Panic),"",Adam McCaw,Bordeaux South (L1),
11732,"Mon, 21 Apr 2014 01:30:00 -0400","Mon, 21 Apr 2014 02:30:00 -0400",The Fantasy Novels of Enid Blyton,"",Emma Hawkes,Provence (L2),"Enid Blyton wrote across a range of genres, including fantasy!  This panel considers the Faraway Tree novels, the Wishing Chair novels and the Noddy series.  A presentation followed by a discussion."
11733,"Sat, 19 Apr 2014 01:30:00 -0400","Sat, 19 Apr 2014 02:30:00 -0400",The Silent City - An Australian Film Noir,"Film, Science Fiction","Anthony Ciccotosto, Sarah Harris, David Partridge, Andreas Piechulik, Jeff Watkins, Marcelle Weber",Champagne B (G),"_The Silent City_ is a local film made by local people. A black-and white _noir_ style film, it is full of intrigue, secrets, and excitement. 

Some of the actors of the film would like to present some clips from the movie, as well as discuss the making-of and field any questions you might have. As an added extra, two free tickets are available for whoever asks the best questions! (As determined by the panelists)"
11734,"Fri, 18 Apr 2014 02:30:00 -0400","Fri, 18 Apr 2014 03:30:00 -0400",The History Of Ghibli - Take 2 ,"Anime, Fantasy",Andy Hahn,Champagne B (G),"Japanese animation production house Studio Ghibli is known to many as ""The Disney of the East"". Come hear all about the early years of Studio Ghibli works and what went into creation the company today"
11735,"Fri, 18 Apr 2014 06:30:00 -0400","Fri, 18 Apr 2014 07:00:00 -0400",Art Show Judging,Closed Panel,"Sally Beasley, Anne Bishop, Jim Butcher, Isobelle Carmody",Champagne Foyer,
11736,"Fri, 18 Apr 2014 05:00:00 -0400","Fri, 18 Apr 2014 06:30:00 -0400",Ugg-Tect Royale,Tabletop Gaming,Rob Masters,Bordeaux North (L1),"The 3 or 4 teams of paelolithic panelists, lead by their Ugg-Tects, attempt
to build complex structures while limited by minimal vocabularies and
silly gestures. Spiked clubs may also feature.

Using the rules of the party game Ugg Tect, but taken to the next level,
Rob & Leece help the panelists demonstrate just how hard communication
can be. See also: http://boardgamegeek.com/boardgame/60131/ugg-tect"
